, Standard Gold (22 K) ( 1 gram ), Standard Gold (22 K) ( 8 grams ), Pure Gold (24 K) ( 1 gram ), Pure Gold (24 K) ( 8 grams )
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
2021-08-31,"₹ 4,604","₹ 36,832","₹ 4,834","₹ 38,672"
2021-08-30,"₹ 4,614","₹ 36,912","₹ 4,845","₹ 38,760"
Rate Change, ₹ -10 ↓, ₹ -80 ↓, ₹ -11 ↓, ₹ -88 ↓
""
