index,Qoutes,Links
1,"To be fully seen by somebody, then, and be loved anyhow—this is a human offering that can border on miraculous. ",https://passiton.com/inspirational-quotes/8256-to-be-fully-seen-by-somebody-then-and-be
2,"Have a big enough heart to love unconditionally, and a broad enough mind to embrace the differences that make each of us unique. ",https://passiton.com/inspirational-quotes/8255-have-a-big-enough-heart-to-love
3,"Acceptance is simply love in practice. When you love, you accept, when you lack love, you judge. ",https://passiton.com/inspirational-quotes/8254-acceptance-is-simply-love-in-practice-when-you
4,"The happiness of one's own heart alone cannot satisfy the soul; one must try to include, as necessary to one's own happiness, the happiness of others. ",https://passiton.com/inspirational-quotes/8253-the-happiness-of-ones-own-heart-alone-cannot
5,"Nothing in life is to be feared. It is only to be understood. Now is the time to understand more, so that we may fear less. ",https://passiton.com/inspirational-quotes/7020-nothing-in-life-is-to-be-feared-it-is-only-to
6,Have the courage to follow your heart and intuition. They somehow already know what you truly want to become. ,https://passiton.com/inspirational-quotes/8252-have-the-courage-to-follow-your-heart-and
7,Courage doesn’t mean you don’t get afraid. Courage means you don’t let fear stop you.  ,https://passiton.com/inspirational-quotes/8251-courage-doesn-t-mean-you-don-t-get-afraid
8,Life shrinks or expands in proportion to one's courage. ,https://passiton.com/inspirational-quotes/7299-life-shrinks-or-expands-in-proportion-to-ones
9,"In one of its earliest forms, the word courage meant ‘To speak one’s mind by telling all one’s heart.' ",https://passiton.com/inspirational-quotes/8250-in-one-of-its-earliest-forms-the-word-courage
10,"Some people want it to happen, some wish it would happen, others make it happen. ",https://passiton.com/inspirational-quotes/8249-some-people-want-it-to-happen-some-wish-it
11,There are no shortcuts to any place worth going. ,https://passiton.com/inspirational-quotes/4076-there-are-no-shortcuts-to-any-place-worth-going
12,The only failure is quitting. Everything else is just gathering information. ,https://passiton.com/inspirational-quotes/8248-the-only-failure-is-quitting-everything-else
13,"There's only one way to succeed in anything, and that is to give it everything. ",https://passiton.com/inspirational-quotes/2210-theres-only-one-way-to-succeed-in-anything-and
14,"In the confrontation between the stream and the rock, the stream always wins- not through strength but by perseverance. ",https://passiton.com/inspirational-quotes/5831-in-the-confrontation-between-the-stream-and-the
15,A good laugh heals a lot of hurts. ,https://passiton.com/inspirational-quotes/7783-a-good-laugh-heals-a-lot-of-hurts
16,Laughter lightens the soul. ,https://passiton.com/inspirational-quotes/8247-laughter-lightens-the-soul
17,"Laughter lets me relax. It’s the equivalent of taking a deep breath, letting it out and saying, ‘This, too, will pass.’ ",https://passiton.com/inspirational-quotes/8246-laughter-lets-me-relax-it-s-the-equivalent-of
18,"I have seen what a laugh can do. It can transform almost unbearable tears into something bearable, even hopeful.  ",https://passiton.com/inspirational-quotes/5063-i-have-seen-what-a-laugh-can-do-it-can
19,Laughter is proof of hope. ,https://passiton.com/inspirational-quotes/8245-laughter-is-proof-of-hope
20,Now is no time to think of what you do not have. Think of what you can do with what there is.  ,https://passiton.com/inspirational-quotes/6378-now-is-no-time-to-think-of-what-you-do-not
21,"The mind is like a flower. It does not bloom without the lights of appreciation, encouragement, and love. ",https://passiton.com/inspirational-quotes/8244-the-mind-is-like-a-flower-it-does-not-bloom
22,"Enjoy the little things in life, for one day you may look back and realize they were the big things. ",https://passiton.com/inspirational-quotes/6601-enjoy-the-little-things-in-life-for-one-day
23,We can only be said to be alive in those moments when our hearts are conscious of our treasures. ,https://passiton.com/inspirational-quotes/4224-we-can-only-be-said-to-be-alive-in-those
24,The best way to pay for a lovely moment is to enjoy it. ,https://passiton.com/inspirational-quotes/3072-the-best-way-to-pay-for-a-lovely-moment-is-to
25,"We should cultivate the ability to say no to activities for which we have no interest or real concern. If we learn to say no to many things, then we will be able to say yes to the things that matter most.  ",https://passiton.com/inspirational-quotes/6165-we-should-cultivate-the-ability-to-say-no-to
26,The vision must be followed by the venture. It is not enough to stare up the steps - we must step up the stairs. ,https://passiton.com/inspirational-quotes/3562-the-vision-must-be-followed-by-the-venture-it
27,Don't stop until you're proud. ,https://passiton.com/inspirational-quotes/8243-dont-stop-until-youre-proud
28,"Good, better, best. Never let it rest. Until your good is better and your better is best. ",https://passiton.com/inspirational-quotes/5996-good-better-best-never-let-it-rest-until
29,"When you look for things in life like love, meaning, motivation, it implies they are sitting behind a tree or under a rock. The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation. ",https://passiton.com/inspirational-quotes/6889-when-you-look-for-things-in-life-like-love
30,"It’s your reaction to adversity, not adversity itself that determines how your life’s story will develop. ",https://passiton.com/inspirational-quotes/8242-it-s-your-reaction-to-adversity-not-adversity
31,Rock bottom became the solid foundation on which I rebuilt my life. ,https://passiton.com/inspirational-quotes/6595-rock-bottom-became-the-solid-foundation-on
32,"Sometimes, carrying on, just carrying on, is the superhuman achievement. ",https://passiton.com/inspirational-quotes/7409-sometimes-carrying-on-just-carrying-on-is
