index,Qoutes,Links
1,Life shrinks or expands in proportion to one's courage. ,https://passiton.com/inspirational-quotes/7299-life-shrinks-or-expands-in-proportion-to-ones
2,"In one of its earliest forms, the word courage meant ‘To speak one’s mind by telling all one’s heart.' ",https://passiton.com/inspirational-quotes/8250-in-one-of-its-earliest-forms-the-word-courage
3,"Some people want it to happen, some wish it would happen, others make it happen. ",https://passiton.com/inspirational-quotes/8249-some-people-want-it-to-happen-some-wish-it
4,There are no shortcuts to any place worth going. ,https://passiton.com/inspirational-quotes/4076-there-are-no-shortcuts-to-any-place-worth-going
5,The only failure is quitting. Everything else is just gathering information. ,https://passiton.com/inspirational-quotes/8248-the-only-failure-is-quitting-everything-else
6,"There's only one way to succeed in anything, and that is to give it everything. ",https://passiton.com/inspirational-quotes/2210-theres-only-one-way-to-succeed-in-anything-and
7,"In the confrontation between the stream and the rock, the stream always wins- not through strength but by perseverance. ",https://passiton.com/inspirational-quotes/5831-in-the-confrontation-between-the-stream-and-the
8,A good laugh heals a lot of hurts. ,https://passiton.com/inspirational-quotes/7783-a-good-laugh-heals-a-lot-of-hurts
9,Laughter lightens the soul. ,https://passiton.com/inspirational-quotes/8247-laughter-lightens-the-soul
10,"Laughter lets me relax. It’s the equivalent of taking a deep breath, letting it out and saying, ‘This, too, will pass.’ ",https://passiton.com/inspirational-quotes/8246-laughter-lets-me-relax-it-s-the-equivalent-of
11,"I have seen what a laugh can do. It can transform almost unbearable tears into something bearable, even hopeful.  ",https://passiton.com/inspirational-quotes/5063-i-have-seen-what-a-laugh-can-do-it-can
12,Laughter is proof of hope. ,https://passiton.com/inspirational-quotes/8245-laughter-is-proof-of-hope
13,Now is no time to think of what you do not have. Think of what you can do with what there is.  ,https://passiton.com/inspirational-quotes/6378-now-is-no-time-to-think-of-what-you-do-not
14,"The mind is like a flower. It does not bloom without the lights of appreciation, encouragement, and love. ",https://passiton.com/inspirational-quotes/8244-the-mind-is-like-a-flower-it-does-not-bloom
15,"Enjoy the little things in life, for one day you may look back and realize they were the big things. ",https://passiton.com/inspirational-quotes/6601-enjoy-the-little-things-in-life-for-one-day
16,We can only be said to be alive in those moments when our hearts are conscious of our treasures. ,https://passiton.com/inspirational-quotes/4224-we-can-only-be-said-to-be-alive-in-those
17,The best way to pay for a lovely moment is to enjoy it. ,https://passiton.com/inspirational-quotes/3072-the-best-way-to-pay-for-a-lovely-moment-is-to
18,"We should cultivate the ability to say no to activities for which we have no interest or real concern. If we learn to say no to many things, then we will be able to say yes to the things that matter most.  ",https://passiton.com/inspirational-quotes/6165-we-should-cultivate-the-ability-to-say-no-to
19,The vision must be followed by the venture. It is not enough to stare up the steps - we must step up the stairs. ,https://passiton.com/inspirational-quotes/3562-the-vision-must-be-followed-by-the-venture-it
20,Don't stop until you're proud. ,https://passiton.com/inspirational-quotes/8243-dont-stop-until-youre-proud
21,"Good, better, best. Never let it rest. Until your good is better and your better is best. ",https://passiton.com/inspirational-quotes/5996-good-better-best-never-let-it-rest-until
22,"When you look for things in life like love, meaning, motivation, it implies they are sitting behind a tree or under a rock. The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation. ",https://passiton.com/inspirational-quotes/6889-when-you-look-for-things-in-life-like-love
23,"It’s your reaction to adversity, not adversity itself that determines how your life’s story will develop. ",https://passiton.com/inspirational-quotes/8242-it-s-your-reaction-to-adversity-not-adversity
24,Rock bottom became the solid foundation on which I rebuilt my life. ,https://passiton.com/inspirational-quotes/6595-rock-bottom-became-the-solid-foundation-on
25,"Sometimes, carrying on, just carrying on, is the superhuman achievement. ",https://passiton.com/inspirational-quotes/7409-sometimes-carrying-on-just-carrying-on-is
26,"We will either find a way, or make one. ",https://passiton.com/inspirational-quotes/4292-we-will-either-find-a-way-or-make-one
27,Persistence and resilience only come from having been given the chance to work though difficult problems. ,https://passiton.com/inspirational-quotes/8241-persistence-and-resilience-only-come-from
28,Striving for success without hard work is like trying to harvest where you haven't planted. ,https://passiton.com/inspirational-quotes/6243-striving-for-success-without-hard-work-is-like
29,Work hard and be kind and amazing things will happen. ,https://passiton.com/inspirational-quotes/8240-work-hard-and-be-kind-and-amazing-things-will
30,"If you go to work on your goals, your goals will go to work on you. If you go to work on your plan, your plan will go to work on you. Whatever good things we build end up building us. ",https://passiton.com/inspirational-quotes/8239-if-you-go-to-work-on-your-goals-your-goals
31,The fruit of your own hard work is the sweetest. ,https://passiton.com/inspirational-quotes/8238-the-fruit-of-your-own-hard-work-is-the-sweetest
32,"If your dream is a big dream, and if you want your life to work on the high level you say you do, there’s no way around doing the work it takes to get you there. ",https://passiton.com/inspirational-quotes/8237-if-your-dream-is-a-big-dream-and-if-you-want
